Lp,Numer pytania,Pytanie,Odpowiedź A,Odpowiedź B,Odpowiedź C,Poprawna odp,Media,Zakres struktury,Liczba punktów,Kategorie,Nazwa media tłumaczenie migowe (PJM) treść pyt,Nazwa media tłumaczenie migowe (PJM) treść odp A,Nazwa media tłumaczenie migowe (PJM) treść odp B,Nazwa media tłumaczenie migowe (PJM) treść odp C,Pytanie [EN],Odpowiedź A [EN],Odpowiedź B [EN],Odpowiedź C [EN],Pytanie [D],Odpowiedź A [D],Odpowiedź B [D],Odpowiedź C [D],Pytanie [UA],Odpowiedź A [UA],Odpowiedź B [UA],Odpowiedź C [UA]
892,4343,"Czy w tej sytuacji jesteś uprzedzany o zbliżaniu się do skrzyżowania, na którym pierwszeństwo nie jest określone znakami?",,,,T,1433D14MMorgbm.jpg,PODSTAWOWY,1,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",pjm4343.wmv,,,,Are you warned in this situation of approaching an intersection at which the right of way is not established by signs?,,,,"Wirst du in der abgebildeten Situation vorgewarnt, dass du dich einer Kreuzung näherst, auf der die Vorfahrt durch Zeichen nicht festgelegt ist?",,,,"Чи у цій ситуації Вас попереджають про наближення до перехрестя, на якому пріоритетність (першочерговість) руху не вказана знаками?",,,
893,4344,"Czy w tej sytuacji, przed wjechaniem na tory, masz obowiązek upewnić się czy nie zbliża się pojazd szynowy?",,,,T,D18_1org.wmv,PODSTAWOWY,3,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",,,,,"In the presented situation, before driving onto the rails, are you obliged to make sure that no rail vehicle is approaching?",,,,"Sollen Sie sich in der dargestellten Situation vergewissern, dass kein Schienenfahrzeug kommt?",,,,"Чи зобов'язані Ви в цій ситуації, перш ніж виїхати на колію, переконатися, що не наближається рейковий транспортний засіб?",,,
894,4345,"Jedziesz na wprost, a motocyklista zamierza skręcić w lewo. Czy masz obowiązek ustąpić mu pierwszeństwa?",,,,T,KW_D22_409_org.wmv,PODSTAWOWY,3,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",pjm4345.wmv,,,,"You intend to go straight on, while the motorcyclist intends to turn left. Do you have to yield the right of way to the motorcyclist?",,,,"Sie  planen geradeaus zu fahren und der Motorradfahrer hat es vor links abzubiegen. Sind Sie dazu verpflchtet, ihm Vorfahrt zu geben?",,,,"Ви їдете прямо, а мотоцикліст збирається повернути вліво. Чи Ви зобов'язані уступити йому дорогу?",,,
895,4347,Czy w tej sytuacji masz prawo rozpocząć manewr wyprzedzania?,,,,N,GND14__3_org_2.wmv,PODSTAWOWY,3,"A,B,C,D,A1,A2,B1,C1,D1",pjm4347.wmv,,,,Are you allowed to begin overtaking in this situation?,,,,Darf man in der dargestellten Situation das Überholungsmanöver beginnen?,,,,Чи дозволено Вам розпочинати маневр обгону в цій ситуації?,,,
896,4348,"Zamierzasz skręcić w prawo, a kierujący autobusem chce skręcić w lewo. Czy masz przed nim pierwszeństwo?",,,,N,W7(48)org.wmv,PODSTAWOWY,3,B,pjm4348.wmv,,,,You plan to turn right and the bus driver intends to turn left. Have you got priority over him?,,,,Sie möchten rechts abbiegen und der Busfahrer möchte links abbiegen. Hast du die Vorfahrt vor ihm?,,,,"Ви збираєтеся повернути вправо, а водій автобуса хоче повернути вліво. Чи Ви маєте перевагу перед ним?",,,
897,4349,Czy masz prawo ominąć poprzedzający pojazd z lewej strony?,,,,N,W13(22)org.wmv,PODSTAWOWY,2,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",,,,,Are you allowed to pass the preceding stationary vehicle on the left?,,,,Darf man das vorausfahrende Fahrzeug links umfahren?,,,,"Чи маєте Ви право обігнати зліва транспортний засіб, що їде попереду?",,,
898,4350,Zamierzasz skręcić w prawo. Czy masz pierwszeństwo przed pojazdem nadjeżdżającym z lewej strony?,,,,N,W6(43)org.wmv,PODSTAWOWY,3,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",pjm4350.wmv,,,,You intend to turn right. Do you have the right of way over the vehicle approaching from the left?,,,,"Sie haben es vor, rechts abzubiegen. Haben Sie die Vorfahrt vor dem von links kommenden Fahrzeug?",,,,"Ви збираєтеся повернути вправо. Чи маєте Ви перевагу перед транспортним засобом, який наближається зліва?",,,
899,4351,Jedziesz drogą z pierwszeństwem przejazdu. Czy w tej sytuacji masz pierwszeństwo przed rowerzystą?,,,,N,"W17(14,18,19)org.wmv",PODSTAWOWY,3,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",pjm4351.wmv,,,,You are driving on the major road. Do you have the right of way over the cyclist in this situation?,,,,Sie sind auf der Vorfahrtsstraße. Haben Sie in dieser Situation Vorfahrt vor dem Radfahrer?,,,,Ви їдете по головній дорозі. Чи маєте Ви у цій ситуації перевагу перед велосипедистом?,,,
900,4352,Czy w tej sytuacji masz pierwszeństwo przed rowerzystą?,,,,N,W17(15)org.wmv,PODSTAWOWY,3,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",pjm4352.wmv,,,,Do you have the right of way over the cyclist in this situation?,,,,Soll man in dieser Situation vor dem Radfahrer durchfahren?,,,,Чи у цій ситуації Ви маєте перевагу перед велосипедистом?,,,
901,4353,"Czy masz prawo wjechać na chodnik, by ominąć ten pojazd?",,,,N,W13(23)org.wmv,PODSTAWOWY,2,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",pjm4353.wmv,,,,Are you allowed in this situation to drive onto the pavement to avoid this vehicle?,,,,"Darf man in dieser Situation auf den Bürgersteig fahren, um dieses Fahrzeug zu umfahren?",,,,"Чи маєте Ви право виїхати на тротуар, щоб об'їхати цей транспортний засіб?",,,
902,4354,Czy w tej sytuacji masz prawo jechać z włączonymi światłami drogowymi?,,,,N,W14(28)org.wmv,PODSTAWOWY,1,"A,B,C,D,A1,A2,B1,C1,D1",pjm4354.wmv,,,,Are you allowed in this situation to drive a vehicle with high-beam lights switched on?,,,,Darf man in dieser Situation das Fahrzeug mit eingeschaltetem Fernlicht lenken?,,,,Чи у цій ситуації Вам дозволяється їхати з увімкненим дальнім світлом фар?,,,
903,4355,"Czy po skręceniu w lewo, widoczne na jezdni poprzecznej oznakowanie poziome zabrania Ci przejechać na prawy skrajny pas ruchu?",,,,N,W4(89)org.wmv,PODSTAWOWY,1,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",,,,,"After turning left, do the signs on the crosswise roadway prohibit you from going to the right uttermost lane?",,,,"Verbietet die Fahrbahnmarkierung, die auf der Querstraße zu sehen ist, nach dem Linksabbiegen, auf die rechte äußere Fahrspur zu wechseln?",,,,"Чи після повороту вліво, горизонтальна розмітка, яку Ви бачите на проїжджій частині, забороняє Вам зайняти крайню праву смугу руху?",,,
904,4356,Czy w tej sytuacji właściwie wybrałeś miejsce zatrzymania?,,,,N,W16(29)org.wmv,PODSTAWOWY,3,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",pjm4356.wmv,,,,Did you chose the place for stopping correctly in this situation?,,,,Haben Sie in dieser Situation die Stelle zum Anhalten richtig gewählt?,,,,Чи правильно Ви вибрали місце для зупинки в цій ситуації?,,,
905,4357,Czy prawidłowo omijasz poprzedzający pojazd?,,,,T,W13(24)org.wmv,PODSTAWOWY,2,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",,,,,Are you passing the preceding vehicle correctly?,,,,Fahren Sie am vorausfahrenden Fahrzeug vorschriftsgemäß vorbei?,,,,Чи правильно Ви оминаєте (об'їжджаєте) автомобіль попереду?,,,
906,4358,Czy w tej sytuacji masz pierwszeństwo przed pojazdem nadjeżdżającym z lewej strony?,,,,N,502_D27KW_org_2.wmv,PODSTAWOWY,3,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",pjm4358.wmv,,,,Have you got priority over the vehicle approaching from the left in this situation?,,,,Haben Sie in der dargestellten Situation die Vorfahrt vor dem von links kommenden Fahrzeug?,,,,"Чи у цій ситуації Ви маєте перевагу перед транспортним засобом, що наближається зліва?",,,
907,4359,"Czy w tej sytuacji, zanim włączysz się do ruchu, masz obowiązek obserwacji drogi w lusterku zewnętrznym?",,,,T,D36_44org.wmv,PODSTAWOWY,3,B,pjm4359.wmv,,,,Are you obliged to observe the road in the exterior mirror in this situation before you join the traffic?,,,,"Haben Sie in der dargestellten Situation die Pflicht, die Straße im Außenspiegel zu beobachten, bevor Sie sich in den Verkehr einfädeln?",,,,"Чи у цій ситуації, перш ніж влитися в рух (розпочати рух), Ви повинні подивитися в зовнішнє дзеркало на дорогу?",,,
908,4362,Jakie jest ryzyko poślizgu pojazdu podczas jazdy w czasie deszczu?,Największe w początkowej fazie deszczu.,Najmniejsze w początkowej fazie deszczu.,Największe w końcowej fazie deszczu.,A,,SPECJALISTYCZNY,3,"B,B1",pjm4362.wmv,pjm4362a.wmv,pjm4362b.wmv,pjm4362c.wmv,While driving a car in the rain the risk of skidding is:,the highest in the initial stage of the rain.,the lowest in the initial stage of the rain.,the highest in the final stage of the rain.,Während der Fahrt im Regen ist die Schlupfgefahr:,In der Anfangphase des Regens am größten.,In der Anfangphase des Regens am geringsten.,In der Endphase des Regens am größten.,Який ризик заносу автомобіля під час руху під дощем?,Найбільший у початковій фазі дощу.,Найменший у початковій фазі дощу.,Найбільший в кінцевій фазі дощу.
909,4364,Jaki wpływ ma prędkość jazdy na kąt widzenia kierującego samochodem osobowym?,Wraz ze wzrostem prędkości kąt widzenia zawęża się.,Wraz ze wzrostem prędkości kąt widzenia rozszerza się.,Nie ma żadnego wpływu.,A,,SPECJALISTYCZNY,2,B,pjm4364.wmv,pjm4364a.wmv,pjm4364b.wmv,pjm4364c.wmv,What is the influence of the speed of driving on the field of view of a passenger car driver?,When the speed increases the field of view narrows down.,When the speed increases the field of view expands.,It has no influence.,Welchen Einfluss hat die Fahrtgeschwindigkeit auf den Sehwinkel des PKW-Führers?,Mit der zunehmenden Geschwindigkeit engt sich der Sehwinkel ein.,Mit der zunehmenden Geschwindigkeit erweitert sich der Sehwinkel.,keinen Einfluss auf den Sehwinkel.,Як швидкість руху впливає на кут огляду водія легкового автомобіля?,Зі збільшенням швидкості кут огляду звужується.,Зі збільшенням швидкості кут огляду розширюється.,Швидкість руху не має впливу.
910,4367,Który z wymienionych czynników może ograniczyć pole widzenia kierującego samochodem osobowym?,Używanie klimatyzacji podczas opadów deszczu.,Lusterko wewnętrzne.,Oślepiające światła innych pojazdów jadących z przeciwka.,C,,SPECJALISTYCZNY,2,B,pjm4367.wmv,pjm4367a.wmv,pjm4367b.wmv,pjm4367c.wmv,Which of the following factors may restrict the field of view of a passenger car's driver?,Using air conditioning during the rain.,Internal mirror.,Blinding lights of other oncoming vehicles.,Welcher der genannten Faktoren kann das Sichtfeld eines PKW-Führers einschränken?,Benutzen der Klimaanlage beim Regen.,Innenspiegel.,"Blendendes Licht anderer Fahrzeuge, die von der entgegengesetzten Richtung kommen.",Який із наведених чинників може обмежити поле зору водія легкового автомобіля?,Використання кондиціонера під час дощу.,Дзеркало заднього ходу.,Засліплення вогнями зустрічних транспортних засобів.
911,4368,Który z wymienionych czynników może ograniczyć pole widzenia kierującego samochodem osobowym podczas jazdy nocą?,Zmniejszona prędkość.,Uszkodzony system ABS.,Niewłaściwie ustawione światła.,C,,SPECJALISTYCZNY,2,B,pjm4368.wmv,pjm4368a.wmv,pjm4368b.wmv,pjm4368c.wmv,Which of the following factors may restrict the field of view of a passenger car's driver at night?,Decreased speed.,Damaged ABS.,Improperly adjusted lights.,Welcher der genannten Faktoren kann das Sichtfeld des PKW-Führers bei Fahrt nachts einschränken?,Verrigenrte Geschwindigkeit.,Beschädigtes ABS-System.,Nicht richtig eingestelltes Licht.,Який із наведених чинників може обмежити поле зору водія легкового автомобіля під час руху вночі?,Знижена швидкість.,Пошкоджена система ABS.,Не відрегульовані належним чином фари.
912,4369,Który z wymienionych czynników ma wpływ na ograniczenie pola widzenia kierującego samochodem osobowym?,Mruganie oczami w czasie przerwy w jeździe.,15 minut odpoczynku po dwugodzinnej jeździe.,Kierowanie pojazdem w stanie nietrzeźwości.,C,,SPECJALISTYCZNY,2,B,,,,,Which of the following factors may restrict the field of view of a passenger car's driver?,Blinking his eyes during a brake in driving.,15 minutes of rest after two hours of driving.,Driving when being intoxicated.,Welcher der genannten Faktoren hat einen Einfluss auf die Einschränkung des Sichtfeldes von einem PKW-Führer?,Zwinkern mit den Augen während der Fahrtunterbrechung.,15 Minuten Rast nach zweistündiger Fahrt.,Fahrzeugführen im Trunkenheitszustand.,Який із перерахованих чинників має вплив на обмеження поля зору водія легкового автомобіля?,Моргання очей під час перерв у водінні.,15 хвилин відпочинку після двох годин їзди.,Керування автомобілем у нетверезому стані.
913,4370,Który z wymienionych czynników może powodować ograniczenie pola widzenia kierującego samochodem osobowym?,Zbyt nisko lub zbyt wysoko ustawiony fotel kierującego.,15 minut odpoczynku po dwugodzinnej jeździe.,Okulary przeciwsłoneczne używane w słoneczny dzień.,A,,SPECJALISTYCZNY,2,B,,,,,Which of the following factors may restrict the field of view of a passenger car's driver?,The driver's seat mounted too low.,15 minutes of rest after two hours of driving.,Sunglasses used on a sunny day.,Welcher der genannten Faktoren kann die Einschränkung des Sichtfeldes von dem PKW-Führer zur Folge haben?,Zu niedrig eingestellter Fahrersitz.,15 Minuten Rast nach zweistündiger Fahrt.,"Sonnenbrillen, die an einem sonnigen Tag benutzt werden.",Який із наведених чинників може обмежити поле зору водія легкового автомобіля?,Сидіння водія встановлено занадто низько або занадто високо.,15 хвилин відпочинку після двох годин їзди.,Сонцезахисні окуляри в сонячний день.
914,4371,Jaki wpływ ma prędkość jazdy na kąt widzenia kierującego samochodem osobowym?,Wraz ze wzrostem prędkości kąt widzenia jest większy.,Wraz ze wzrostem prędkości kąt widzenia jest mniejszy.,Nie ma żadnego wpływu.,B,,SPECJALISTYCZNY,2,B,pjm4371.wmv,pjm4371a.wmv,pjm4371b.wmv,pjm4371c.wmv,What is the influence of the speed of driving on the angle of view of a passenger car's driver?,The higher the speed the larger the angle of view.,The higher the speed the smaller the angle of view.,It has no influence.,Welchen Einfluss auf die Fahrgeschwindigkeit hat der Sehwinkel des PKW-Führers?,Mit zunehmender Geschwindigkeit wird der Sehwinkel größer.,Mit zunehmender Geschwindigkeit wird der Sehwinkel kleiner.,sie hat keinen Einfluss auf den Sehwinkel.,Як швидкість руху впливає на кут огляду водія легкового автомобіля?,Зі збільшенням швидкості кут огляду стає більшим.,Зі збільшенням швидкості кут огляду стає меншим.,Швидкість не має впливу.
